request_id,request_date,balance,minimum,requested,expected_safe,calculated_safe,future_cashflows,direct_future_events,recurring,excluded_future_events
request_11,2025-05-03,63531795,34140600,13110000,12510645,13110000,2025-05-05:-2954500.00|2025-05-08:-2891149.67|2025-05-09:-1881000.00|2025-05-10:-2544100.00|2025-05-12:-3165638.30|2025-05-14:-168150.00|2025-05-15:23256000.00|2025-05-16:-1688239.04|2025-06-05:-2954500.00|2025-06-08:-2891149.67|2025-06-09:-1881000.00|2025-06-10:-2544100.00|2025-06-12:-3165638.30|2025-06-14:-168150.00|2025-06-15:23256000.00|2025-06-16:-1688239.04|2025-07-05:-2954500.00|2025-07-08:-2891149.67|2025-07-09:-1881000.00|2025-07-10:-2544100.00|2025-07-12:-3165638.30|2025-07-14:-168150.00|2025-07-15:23256000.00|2025-07-16:-1688239.04,,event_943:Home association fee:monthly|event_944:Municipal utilities:monthly|event_945:Vehicle insurance premium:monthly|event_946:Child education fee:monthly|event_947:Regular medicine purchase:monthly|event_949:Cloud storage plan:monthly|event_941:Base salary:monthly|event_948:Games and recreation:monthly,none
request_12,2026-04-05,193089.89,43200,65164,65164,65164,2026-04-05:-3755.96|2026-04-08:-1504.80|2026-04-11:-1849.69|2026-05-01:-11792.00|2026-05-05:-3755.96|2026-05-08:-1504.80|2026-05-11:-1849.69|2026-06-01:-11792.00|2026-06-05:-3755.96|2026-06-08:-1504.80|2026-06-11:-1849.69|2026-07-01:-11792.00,,event_1018:Monthly rent:monthly|event_1014:Water and power payment:monthly|event_1016:Family streaming plan:monthly|event_1015:Shared storage plan:monthly|event_1017:Monthly shopping spend:monthly,none
request_13,2024-03-07,2789.52,1300,941.6,433.4,941.6,2024-03-10:-61.00|2024-03-11:-29.00|2024-03-13:-21.00|2024-03-15:1343.54|2024-04-02:-622.60|2024-04-06:-146.33|2024-04-10:-61.00|2024-04-11:-29.00|2024-04-13:-21.00|2024-04-15:1343.54|2024-05-02:-622.60|2024-05-06:-146.33|2024-05-10:-61.00|2024-05-11:-29.00|2024-05-13:-21.00|2024-05-15:1343.54|2024-06-02:-622.60,2024-03-15:event_1161:credit:1343.54,event_1094:Shared housing rent:monthly|event_1095:Water and power payment:monthly|event_1092:Community fitness plan:monthly|event_1090:Music subscription:monthly|event_1091:Delivery service plan:monthly|event_1087:Primary household salary:monthly,none
request_14,2025-08-04,3931.74,2200,5414.2,597.74,0,2025-08-07:-156.08|2025-08-11:-95.17|2025-08-12:-350.00|2025-08-13:-154.39|2025-08-14:-226.00|2025-09-03:-688.60|2025-09-07:-156.08|2025-09-11:-95.17|2025-09-12:-350.00|2025-09-13:-154.39|2025-09-14:-226.00|2025-10-03:-688.60|2025-10-07:-156.08|2025-10-11:-95.17|2025-10-12:-350.00|2025-10-13:-154.39|2025-10-14:-226.00,,event_1200:Monthly rent:monthly|event_1194:Energy provider bill:monthly|event_1196:Family healthcare expense:monthly|event_1195:Credit card repayment:monthly|event_1198:Cloud storage plan:monthly|event_1199:Online retail purchases:monthly|event_1197:Family support payment:monthly,none
request_15,2026-01-06,1770.05,1200,3685,83.05,0,2026-01-08:-90.39|2026-01-10:-159.00|2026-01-13:-95.00|2026-01-15:-27.00|2026-02-01:-38.56|2026-02-04:-435.60|2026-02-08:-90.39|2026-02-10:-159.00|2026-02-13:-95.00|2026-02-15:-27.00|2026-03-01:-38.56|2026-03-04:-435.60|2026-03-08:-90.39|2026-03-10:-159.00|2026-03-13:-95.00|2026-03-15:-27.00|2026-04-01:-38.56|2026-04-04:-435.60,,event_1272:Landlord standing order:monthly|event_1267:Energy provider bill:monthly|event_1268:School fee payment:monthly|event_1269:Credit card repayment:monthly|event_1270:Music subscription:monthly|event_1271:Food delivery membership:monthly|event_1331:Neighbourhood restaurant:monthly,none
request_16,2023-08-12,362370,122400,122500,122500,122500,2023-08-15:173000.00|2023-08-16:-100000.00|2023-09-01:-63952.00|2023-09-05:-11512.87|2023-09-08:-3510.00|2023-09-10:-17750.00|2023-09-11:-1055.00|2023-09-15:173000.00|2023-10-01:-63952.00|2023-10-05:-11512.87|2023-10-08:-3510.00|2023-10-10:-17750.00|2023-10-11:-1055.00|2023-10-15:173000.00|2023-11-01:-63952.00|2023-11-05:-11512.87|2023-11-08:-3510.00|2023-11-10:-17750.00,2023-08-16:event_1442:debit:100000,event_1371:Monthly rent:monthly|event_1372:Energy provider bill:monthly|event_1374:Video streaming plan:monthly|event_1373:Vehicle loan payment:monthly|event_1375:Cloud storage plan:monthly|event_1364:Payroll credit:monthly,none
request_17,2026-03-01,550379.58,166100,274600,243849.58,274600,2026-03-02:-49600.00|2026-03-06:-10246.53|2026-03-08:-13660.00|2026-03-11:-32255.00|2026-03-13:-1675.00|2026-03-15:206000.00|2026-04-02:-49600.00|2026-04-06:-10246.53|2026-04-08:-13660.00|2026-04-11:-32255.00|2026-04-13:-1675.00|2026-04-15:206000.00|2026-05-02:-49600.00|2026-05-06:-10246.53|2026-05-08:-13660.00|2026-05-11:-32255.00|2026-05-13:-1675.00|2026-05-15:206000.00,2026-03-15:event_1546:credit:206000,event_1472:Apartment rent transfer:monthly|event_1473:Municipal utilities:monthly|event_1474:Course tuition:monthly|event_1475:Credit card repayment:monthly|event_1476:Music subscription:monthly|event_1477:Food delivery membership:monthly|event_1471:Payroll credit:monthly,none
request_18,2026-07-07,2486,1400,3246.1,462,662.19,2026-07-07:-125.40|2026-07-08:-68.00|2026-07-10:-68.00|2026-07-11:-162.41|2026-07-15:2310.00|2026-08-04:-167.00|2026-08-07:-125.40|2026-08-08:-68.00|2026-08-10:-68.00|2026-08-11:-162.41|2026-08-15:2310.00|2026-09-04:-167.00|2026-09-07:-125.40|2026-09-08:-68.00|2026-09-10:-68.00|2026-09-11:-162.41|2026-09-15:2310.00|2026-10-04:-167.00,,event_1577:Building maintenance payment:monthly|event_1573:Energy provider bill:monthly|event_1574:Household insurance:monthly|event_1576:Family streaming plan:monthly|event_1575:Clinic payment:monthly|event_1571:Payroll credit:monthly,none
request_19,2024-09-04,199545,92800,39660,28820,36581.35,2024-09-04:-36100.00|2024-09-08:-6129.19|2024-09-12:-9619.88|2024-09-13:-11850.00|2024-09-14:-6464.58|2024-09-15:118350.00|2024-10-04:-36100.00|2024-10-08:-6129.19|2024-10-12:-9619.88|2024-10-13:-11850.00|2024-10-14:-6464.58|2024-10-15:118350.00|2024-11-04:-36100.00|2024-11-08:-6129.19|2024-11-12:-9619.88|2024-11-13:-11850.00|2024-11-14:-6464.58|2024-11-15:118350.00,,event_1655:Residential rent payment:monthly|event_1656:Municipal utilities:monthly|event_1658:Clinic payment:monthly|event_1657:Loan repayment:monthly|event_1660:Online backup subscription:monthly|event_1661:Clothing and household items:monthly|event_1654:Payroll credit:monthly|event_1659:Childcare contribution:monthly,none
request_20,2026-02-07,102609.05,64500,303700,5400,14896,2026-02-07:-8740.00|2026-02-08:-4470.00|2026-02-09:-7358.38|2026-02-11:-365.00|2026-02-13:-2279.67|2026-02-15:108000.00|2026-03-02:-7950.00|2026-03-05:-8058.75|2026-03-06:-3290.00|2026-03-07:-8740.00|2026-03-09:-6654.33|2026-03-11:-365.00|2026-03-13:-2279.67|2026-03-15:108000.00|2026-04-02:-7950.00|2026-04-05:-8058.75|2026-04-06:-3290.00|2026-04-07:-8740.00|2026-04-09:-6654.33|2026-04-11:-365.00|2026-04-13:-2279.67|2026-04-15:108000.00|2026-05-02:-7950.00|2026-05-05:-8058.75|2026-05-06:-3290.00|2026-05-07:-8740.00,2026-02-08:event_1787:debit:4470|2026-02-09:event_1786:debit:704.05,event_1741:Home association fee:monthly|event_1742:Municipal utilities:monthly|event_1743:Household insurance:monthly|event_1737:School fee payment:monthly|event_1738:Family healthcare expense:monthly|event_1740:Shared storage plan:monthly|event_1739:Cinema and events:monthly|event_1733:Payroll credit:monthly,event_1785:pending:refund
request_21,2026-04-03,3911.35,1800,1574.4,1543.35,1574.4,2026-04-05:-53.00|2026-04-06:-124.08|2026-04-09:-47.00|2026-04-12:-137.38|2026-04-15:2256.00|2026-05-02:-718.80|2026-05-06:-124.08|2026-05-09:-47.00|2026-05-12:-137.38|2026-05-15:2256.00|2026-06-02:-718.80|2026-06-06:-124.08|2026-06-09:-47.00|2026-06-12:-137.38|2026-06-15:2256.00|2026-07-02:-718.80,2026-04-05:event_1857:debit:53|2026-04-15:event_1858:credit:2256,event_1818:Residential rent payment:monthly|event_1814:Municipal utilities:monthly|event_1816:Streaming subscription:monthly|event_1815:Online backup subscription:monthly|event_1817:Monthly shopping spend:monthly|event_1812:Payroll credit:monthly,none
request_22,2024-12-05,1132.46,500,731.5,475.46,527.73,2024-12-07:-33.73|2024-12-08:-43.00|2024-12-11:-17.00|2024-12-12:-6.00|2024-12-14:-5.00|2024-12-15:616.00|2025-01-03:-178.20|2025-01-07:-33.73|2025-01-11:-17.00|2025-01-12:-6.00|2025-01-14:-5.00|2025-01-15:616.00|2025-02-03:-178.20|2025-02-07:-33.73|2025-02-11:-17.00|2025-02-12:-6.00|2025-02-14:-5.00|2025-02-15:616.00|2025-03-03:-178.20,2024-12-08:event_1961:debit:43,event_1894:Apartment rent transfer:monthly|event_1889:Electricity and water bill:monthly|event_1892:Gym membership:monthly|event_1890:Music service subscription:monthly|event_1891:Food delivery membership:monthly|event_1887:Payroll credit:monthly,none
request_23,2025-05-07,51957.9,27000,38016,9152,11504.89,2025-05-08:-2915.67|2025-05-11:-1553.20|2025-05-12:-1439.91|2025-05-13:-5852.00|2025-05-14:-1692.23|2025-05-15:41489.80|2025-06-04:-15312.00|2025-06-08:-2915.67|2025-06-12:-1439.91|2025-06-13:-5852.00|2025-06-14:-1692.23|2025-06-15:41489.80|2025-07-04:-15312.00|2025-07-08:-2915.67|2025-07-12:-1439.91|2025-07-13:-5852.00|2025-07-14:-1692.23|2025-07-15:41489.80|2025-08-04:-15312.00,2025-05-11:event_2042:debit:1553.2,event_2002:Shared housing rent:monthly|event_1996:Electricity bill:monthly|event_1998:Clinic payment:monthly|event_1997:Education loan instalment:monthly|event_2000:Cloud storage plan:monthly|event_2001:Personal shopping:monthly|event_1994:Payroll credit:monthly|event_1999:Childcare contribution:monthly,none
request_24,2026-01-04,85045,51000,109600,13420,22371.41,2026-01-05:-3490.50|2026-01-06:-2510.00|2026-01-08:-1200.00|2026-01-10:-2288.09|2026-01-11:-2185.00|2026-01-15:61000.00|2026-01-17:-2288.09|2026-01-24:-2288.09|2026-01-27:-2151.71|2026-01-31:-2288.09|2026-02-01:-20737.71|2026-02-05:-3490.50|2026-02-06:-2510.00|2026-02-07:-2288.09|2026-02-08:-1200.00|2026-02-11:-355.00|2026-02-14:-2288.09|2026-02-15:61000.00|2026-02-21:-2288.09|2026-02-27:-2151.71|2026-02-28:-2288.09|2026-03-01:-20737.71|2026-03-05:-3490.50|2026-03-06:-2510.00|2026-03-07:-2288.09|2026-03-08:-1200.00|2026-03-11:-355.00|2026-03-14:-2288.09|2026-03-15:61000.00|2026-03-21:-2288.09|2026-03-27:-2151.71|2026-03-28:-2288.09|2026-04-01:-20737.71|2026-04-04:-2288.09,2026-01-11:event_2166:debit:1830,event_2083:Landlord standing order:monthly|event_2077:Household utility payment:monthly|event_2078:Insurance policy payment:monthly|event_2080:Family streaming plan:monthly|event_2079:Online backup subscription:monthly|event_2075:Payroll credit:monthly|event_2154:Lunch with colleagues:monthly|event_2155:Coffee shop:7d|event_2162:Family dinner:monthly,none
request_25,2024-03-06,32063050,23379100,60496000,1425000,5678194.79,2024-03-06:-1401205.21|2024-03-07:-904400.00|2024-03-09:-573800.00|2024-03-12:-126350.00|2024-03-15:28499994.00|2024-04-02:-6954000.00|2024-04-06:-1401205.21|2024-04-07:-904400.00|2024-04-09:-573800.00|2024-04-12:-126350.00|2024-04-15:28499994.00|2024-05-02:-6954000.00|2024-05-06:-1401205.21|2024-05-07:-904400.00|2024-05-09:-573800.00|2024-05-12:-126350.00|2024-05-15:28499994.00|2024-06-02:-6954000.00,2024-03-15:event_2288:credit:1800,event_2207:Monthly rent:monthly|event_2201:Household utility payment:monthly|event_2202:Insurance policy payment:monthly|event_2204:Video streaming plan:monthly|event_2203:Cloud storage plan:monthly|event_2199:International employer payroll:monthly,none
