request_id,exact_match,expected_amount_safe_to_pay,actual_amount_safe_to_pay,match_amount_safe_to_pay,expected_affordability_status,actual_affordability_status,match_affordability_status,expected_recommended_payment_method,actual_recommended_payment_method,match_recommended_payment_method,expected_payment_plan,actual_payment_plan,match_payment_plan,expected_earliest_date_for_full_payment,actual_earliest_date_for_full_payment,match_earliest_date_for_full_payment,expected_spending_changes_needed,actual_spending_changes_needed,match_spending_changes_needed
request_11,FALSE,12510645,13110000,FALSE,affordable_with_plan,affordable_now,FALSE,full_payment,full_payment,TRUE,2025-05-03:13110000,2025-05-03:13110000,TRUE,2025-07-15,2025-05-03,FALSE,reduce_to:event_989:665950,none,FALSE
request_12,TRUE,65164,65164,TRUE,affordable_with_plan,affordable_with_plan,TRUE,installments,installments,TRUE,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,TRUE,2026-04-05,2026-04-05,TRUE,none,none,TRUE
request_13,FALSE,433.4,941.6,FALSE,affordable_later,affordable_now,FALSE,wait,full_payment,FALSE,2024-05-15:941.60,2024-03-07:941.6,FALSE,2024-05-15,2024-03-07,FALSE,none,none,TRUE
request_14,FALSE,597.74,626.69,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
request_15,FALSE,83.05,225.66,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
request_16,TRUE,122500,122500,TRUE,affordable_now,affordable_now,TRUE,full_payment,full_payment,TRUE,2023-08-12:122500,2023-08-12:122500,TRUE,2023-08-12,2023-08-12,TRUE,none,none,TRUE
request_17,FALSE,243849.58,274600,FALSE,affordable_with_plan,affordable_with_plan,TRUE,installments,installments,TRUE,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,TRUE,2026-03-15,2026-03-01,FALSE,none,none,TRUE
request_18,FALSE,462,554.1,FALSE,affordable_later,affordable_later,TRUE,wait,wait,TRUE,2026-09-15:3246.10,2026-08-15:3246.1,FALSE,2026-09-15,2026-08-15,FALSE,none,none,TRUE
request_19,FALSE,28820,36581.35,FALSE,affordable_with_plan,affordable_with_plan,TRUE,partial_payment,partial_payment,TRUE,2024-09-04:28820|2024-09-15:10840,2024-09-04:36581.35|2024-09-15:3078.65,FALSE,2024-09-15,2024-09-15,TRUE,none,none,TRUE
request_20,FALSE,5400,14896,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
request_21,FALSE,1543.35,1574.4,FALSE,affordable_with_plan,affordable_now,FALSE,full_payment,full_payment,TRUE,2026-04-03:1574.40,2026-04-03:1574.4,FALSE,2026-04-15,2026-04-03,FALSE,stop:event_1815|reduce_to:event_1816:23.50,none,FALSE
request_22,FALSE,475.46,485.47,FALSE,affordable_with_plan,affordable_with_plan,TRUE,installments,installments,TRUE,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,TRUE,2025-01-15,2024-12-15,FALSE,none,none,TRUE
request_23,FALSE,9152,11504.89,FALSE,affordable_later,affordable_later,TRUE,wait,wait,TRUE,2025-07-15:38016,2025-07-15:38016,TRUE,2025-07-15,2025-07-15,TRUE,none,none,TRUE
request_24,FALSE,13420,16667.07,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
request_25,FALSE,1425000,241788.25,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
