request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_65,7058.41,not_affordable,not_recommended,none,,none,ZAR 54340 is not safe within 90 days while preserving the ZAR 15500 minimum balance.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 as scheduled; the 90-day forecast keeps at least the INR 80700 minimum.
request_67,414.95,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Wait until 2024-09-15 to pay USD 2094; earlier payment would breach the USD 1200 minimum.
request_68,1541.76,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,Use the supplied installment schedule for USD 2091.6; the forecast keeps at least the USD 1500 minimum.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 as scheduled; the 90-day forecast keeps at least the EUR 700 minimum.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Wait until 2025-01-15 to pay INR 243900; earlier payment would breach the INR 115000 minimum.
request_71,1844690.06,not_affordable,not_recommended,none,,none,IDR 21451000 is not safe within 90 days while preserving the IDR 8884800 minimum balance.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 as scheduled; the 90-day forecast keeps at least the ZAR 12200 minimum.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 as scheduled; the 90-day forecast keeps at least the INR 103200 minimum.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 as scheduled; the 90-day forecast keeps at least the ZAR 21900 minimum.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use the supplied installment schedule for ZAR 28270; the forecast keeps at least the ZAR 39000 minimum.
request_76,1083.07,not_affordable,not_recommended,none,2024-07-15,none,USD 4455.6 is not safe within 90 days while preserving the USD 1800 minimum balance.
request_77,60219.69,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,Pay INR 60700 using the listed flexible-spending changes while preserving the INR 82200 minimum.
request_78,46434.38,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,stop:event_7224|reduce_to:event_7225:1480,Pay INR 50200 using the listed flexible-spending changes while preserving the INR 55200 minimum.
request_79,414.82,affordable_with_plan,partial_payment,2024-09-04:414.82|2024-09-15:1736.78,2024-09-15,none,Pay EUR 2151.6 as scheduled; the 90-day forecast keeps at least the EUR 1000 minimum.
request_80,120926.27,not_affordable,not_recommended,none,2025-03-15,none,INR 217500 is not safe within 90 days while preserving the INR 121300 minimum balance.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 as scheduled; the 90-day forecast keeps at least the USD 1600 minimum.
request_82,537.14,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,Wait until 2025-02-15 to pay USD 1405.2; earlier payment would breach the USD 1100 minimum.
request_83,7347.78,not_affordable,not_recommended,none,,none,INR 156200 is not safe within 90 days while preserving the INR 37800 minimum balance.
request_84,22119.17,affordable_later,wait,2026-05-15:95400,2026-05-15,none,Wait until 2026-05-15 to pay INR 95400; earlier payment would breach the INR 91300 minimum.
request_85,1236072.59,not_affordable,not_recommended,none,,none,IDR 19304000 is not safe within 90 days while preserving the IDR 6396300 minimum balance.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 as scheduled; the 90-day forecast keeps at least the INR 84900 minimum.
request_87,31311.24,not_affordable,not_recommended,none,,none,INR 487900 is not safe within 90 days while preserving the INR 185900 minimum balance.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Use the supplied installment schedule for ZAR 26092; the forecast keeps at least the ZAR 25800 minimum.
request_89,9499498.83,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Use the supplied installment schedule for IDR 13756000; the forecast keeps at least the IDR 12534700 minimum.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 as scheduled; the 90-day forecast keeps at least the ZAR 7600 minimum.
request_91,718.08,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,Wait until 2024-10-15 to pay EUR 1927.2; earlier payment would breach the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 as scheduled; the 90-day forecast keeps at least the ZAR 28100 minimum.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 as scheduled; the 90-day forecast keeps at least the USD 1900 minimum.
request_94,455.27,not_affordable,not_recommended,none,,none,EUR 572 is not safe within 90 days while preserving the EUR 600 minimum balance.
request_95,24521.33,not_affordable,not_recommended,none,,none,INR 553000 is not safe within 90 days while preserving the INR 145500 minimum balance.
request_96,78061.25,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Use the supplied installment schedule for INR 90200; the forecast keeps at least the INR 56500 minimum.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use the supplied installment schedule for ZAR 23496; the forecast keeps at least the ZAR 29700 minimum.
request_98,10100.63,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Wait until 2025-08-15 to pay ZAR 27148; earlier payment would breach the ZAR 30000 minimum.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 as scheduled; the 90-day forecast keeps at least the ZAR 49100 minimum.
request_100,27399.18,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use the supplied installment schedule for ZAR 37114; the forecast keeps at least the ZAR 32500 minimum.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 as scheduled; the 90-day forecast keeps at least the INR 187400 minimum.
request_102,1470.38,not_affordable,not_recommended,none,,none,EUR 1716 is not safe within 90 days while preserving the EUR 900 minimum balance.
request_103,21711.66,not_affordable,not_recommended,none,,none,INR 368300 is not safe within 90 days while preserving the INR 125500 minimum balance.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 as scheduled; the 90-day forecast keeps at least the ZAR 24700 minimum.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 as scheduled; the 90-day forecast keeps at least the INR 73900 minimum.
request_106,538.44,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,Wait until 2025-01-15 to pay EUR 2207.7; earlier payment would breach the EUR 1200 minimum.
request_107,0,not_affordable,not_recommended,none,,none,EUR 2534.4 is not safe within 90 days while preserving the EUR 1600 minimum balance.
request_108,4690.55,not_affordable,not_recommended,none,2026-09-15,none,ZAR 55308 is not safe within 90 days while preserving the ZAR 24100 minimum balance.
request_109,784.7,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use the supplied installment schedule for EUR 1863.4; the forecast keeps at least the EUR 1700 minimum.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use the supplied installment schedule for ZAR 22352; the forecast keeps at least the ZAR 11200 minimum.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 as scheduled; the 90-day forecast keeps at least the IDR 23022800 minimum.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 as scheduled; the 90-day forecast keeps at least the EUR 500 minimum.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 as scheduled; the 90-day forecast keeps at least the INR 82300 minimum.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 as scheduled; the 90-day forecast keeps at least the INR 113400 minimum.
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Wait until 2024-11-15 to pay INR 80500; earlier payment would breach the INR 38800 minimum.
request_116,26598.79,not_affordable,not_recommended,none,2025-04-15,none,INR 241200 is not safe within 90 days while preserving the INR 80300 minimum balance.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 as scheduled; the 90-day forecast keeps at least the EUR 1000 minimum.
request_118,621.91,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,Use the supplied installment schedule for EUR 738.1; the forecast keeps at least the EUR 600 minimum.
request_119,69354.69,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,Use the supplied installment schedule for INR 203500; the forecast keeps at least the INR 151200 minimum.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 as scheduled; the 90-day forecast keeps at least the IDR 20050300 minimum.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 as scheduled; the 90-day forecast keeps at least the USD 800 minimum.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use the supplied installment schedule for IDR 20558000; the forecast keeps at least the IDR 12588500 minimum.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 as scheduled; the 90-day forecast keeps at least the IDR 18091200 minimum.
request_124,1476.92,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use the supplied installment schedule for EUR 3104.2; the forecast keeps at least the EUR 1600 minimum.
request_125,6461.3,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:event_11599:223.3,Pay ZAR 6468 using the listed flexible-spending changes while preserving the ZAR 11300 minimum.
request_126,90003.49,not_affordable,not_recommended,none,,none,INR 159600 is not safe within 90 days while preserving the INR 129700 minimum balance.
request_127,13782.74,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Wait until 2024-09-15 to pay ZAR 23980; earlier payment would breach the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 as scheduled; the 90-day forecast keeps at least the ZAR 42600 minimum.
request_129,146.56,not_affordable,not_recommended,none,,none,USD 2668.8 is not safe within 90 days while preserving the USD 800 minimum balance.
request_130,483.95,affordable_later,wait,2025-01-15:1978.8,2025-01-15,none,Wait until 2025-01-15 to pay USD 1978.8; earlier payment would breach the USD 1400 minimum.
request_131,1263.67,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,Use the supplied installment schedule for USD 1855.2; the forecast keeps at least the USD 1100 minimum.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 as scheduled; the 90-day forecast keeps at least the USD 1100 minimum.
request_133,5432395.72,not_affordable,not_recommended,none,,none,IDR 15770000 is not safe within 90 days while preserving the IDR 9986200 minimum balance.
request_134,7210010.38,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Wait until 2025-08-15 to pay IDR 21831000; earlier payment would breach the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 as scheduled; the 90-day forecast keeps at least the USD 500 minimum.
request_136,559.13,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,Pay USD 560.4 using the listed flexible-spending changes while preserving the USD 1100 minimum.
request_137,35578.92,affordable_later,wait,2025-12-15:80100,2025-12-15,none,Wait until 2025-12-15 to pay INR 80100; earlier payment would breach the INR 71800 minimum.
request_138,727.08,affordable_with_plan,partial_payment,2026-04-07:727.08|2026-04-15:529.86,2026-04-15,none,Pay EUR 1256.94 as scheduled; the 90-day forecast keeps at least the EUR 2300 minimum.
request_139,1423.63,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use the supplied installment schedule for USD 2316; the forecast keeps at least the USD 1500 minimum.
request_140,1071.21,not_affordable,not_recommended,none,,none,ZAR 62832 is not safe within 90 days while preserving the ZAR 21600 minimum balance.
request_141,22079.52,not_affordable,not_recommended,none,,none,INR 171600 is not safe within 90 days while preserving the INR 67300 minimum balance.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 as scheduled; the 90-day forecast keeps at least the USD 1700 minimum.
request_143,4118.89,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Wait until 2025-06-15 to pay ZAR 12584; earlier payment would breach the ZAR 11300 minimum.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 as scheduled; the 90-day forecast keeps at least the USD 600 minimum.
request_145,35202.82,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,Use the supplied installment schedule for INR 217400; the forecast keeps at least the INR 155400 minimum.
request_146,25950.16,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Wait until 2025-10-15 to pay INR 449400; earlier payment would breach the INR 108600 minimum.
request_147,536.43,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,Use the supplied installment schedule for EUR 1129.7; the forecast keeps at least the EUR 900 minimum.
request_148,10386.21,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,Use the supplied installment schedule for ZAR 22242; the forecast keeps at least the ZAR 20000 minimum.
request_149,20446.96,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Use the supplied installment schedule for ZAR 36652; the forecast keeps at least the ZAR 42100 minimum.
request_150,374.17,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,Use the supplied installment schedule for EUR 496.1; the forecast keeps at least the EUR 700 minimum.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 as scheduled; the 90-day forecast keeps at least the IDR 31633600 minimum.
request_152,11928.13,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Use the supplied installment schedule for ZAR 13882; the forecast keeps at least the ZAR 11900 minimum.
request_153,173.88,not_affordable,not_recommended,none,,none,USD 2830.8 is not safe within 90 days while preserving the USD 1400 minimum balance.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use the supplied installment schedule for EUR 1625.8; the forecast keeps at least the EUR 1300 minimum.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 as scheduled; the 90-day forecast keeps at least the INR 56300 minimum.
request_156,6686.95,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Wait until 2026-06-15 to pay ZAR 43076; earlier payment would breach the ZAR 26900 minimum.
request_157,6212106.7,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Wait until 2024-05-15 to pay IDR 23503000; earlier payment would breach the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use the supplied installment schedule for INR 242600; the forecast keeps at least the INR 131400 minimum.
request_159,0,not_affordable,not_recommended,none,,none,ZAR 13398 is not safe within 90 days while preserving the ZAR 8700 minimum balance.
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use the supplied installment schedule for EUR 1246.3; the forecast keeps at least the EUR 1200 minimum.
request_161,0,not_affordable,not_recommended,none,,none,IDR 21204000 is not safe within 90 days while preserving the IDR 23010400 minimum balance.
request_162,4388137.84,not_affordable,not_recommended,none,,none,IDR 83923000 is not safe within 90 days while preserving the IDR 24161100 minimum balance.
request_163,13124423.31,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,Use the supplied installment schedule for IDR 19304000; the forecast keeps at least the IDR 26728700 minimum.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use the supplied installment schedule for IDR 27018000; the forecast keeps at least the IDR 29550500 minimum.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 as scheduled; the 90-day forecast keeps at least the INR 95000 minimum.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use the supplied installment schedule for USD 2907.6; the forecast keeps at least the USD 1700 minimum.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 as scheduled; the 90-day forecast keeps at least the ZAR 31200 minimum.
request_168,37590,affordable_with_plan,partial_payment,2026-01-07:37590|2026-01-15:11790,2026-01-15,none,Pay INR 49380 as scheduled; the 90-day forecast keeps at least the INR 114400 minimum.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 as scheduled; the 90-day forecast keeps at least the ZAR 18700 minimum.
request_170,34275921.57,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Use the supplied installment schedule for IDR 36936000; the forecast keeps at least the IDR 24715800 minimum.
request_171,0,not_affordable,not_recommended,none,,none,EUR 1878.8 is not safe within 90 days while preserving the EUR 500 minimum balance.
request_172,6549.88,affordable_with_plan,partial_payment,2024-06-05:6549.88|2024-06-15:3650.12,2024-06-15,none,Pay ZAR 10200 as scheduled; the 90-day forecast keeps at least the ZAR 27200 minimum.
request_173,69799.2,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,Use the supplied installment schedule for INR 113000; the forecast keeps at least the INR 79100 minimum.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use the supplied installment schedule for EUR 1146.2; the forecast keeps at least the EUR 700 minimum.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 as scheduled; the 90-day forecast keeps at least the EUR 1700 minimum.
request_176,357.04,not_affordable,not_recommended,none,2025-04-15,none,EUR 1239.7 is not safe within 90 days while preserving the EUR 600 minimum balance.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 as scheduled; the 90-day forecast keeps at least the USD 1300 minimum.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use the supplied installment schedule for EUR 2938.1; the forecast keeps at least the EUR 1400 minimum.
request_179,12562061.16,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Wait until 2025-06-15 to pay IDR 41648000; earlier payment would breach the IDR 41430800 minimum.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 as scheduled; the 90-day forecast keeps at least the INR 37300 minimum.
request_181,278.44,not_affordable,not_recommended,none,2024-05-15,none,USD 5059.2 is not safe within 90 days while preserving the USD 2000 minimum balance.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 as scheduled; the 90-day forecast keeps at least the ZAR 31100 minimum.
request_183,24287828.94,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Use the supplied installment schedule for IDR 26866000; the forecast keeps at least the IDR 11878300 minimum.
request_184,6595.44,not_affordable,not_recommended,none,,none,INR 251900 is not safe within 90 days while preserving the INR 110800 minimum balance.
request_185,403.04,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,Wait until 2025-12-15 to pay EUR 1257.3; earlier payment would breach the EUR 1300 minimum.
request_186,9218.57,affordable_later,wait,2026-02-15:26554,2026-02-15,none,Wait until 2026-02-15 to pay ZAR 26554; earlier payment would breach the ZAR 22000 minimum.
request_187,44971.01,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Wait until 2024-10-15 to pay INR 187500; earlier payment would breach the INR 128300 minimum.
request_188,191.69,not_affordable,not_recommended,none,,none,EUR 2464 is not safe within 90 days while preserving the EUR 900 minimum balance.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 as scheduled; the 90-day forecast keeps at least the EUR 400 minimum.
request_190,621.54,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Wait until 2024-12-15 to pay EUR 2557.5; earlier payment would breach the EUR 1600 minimum.
